work_load_size,work_load_type,run_number,insert_time,delete_time,enumerate_prefix_time,exact_search_time,prefix_search_time,full_traversal_time,memory_usage,node_count,avg_branching_factor,prefix_frequency,seeds
100000,words,0,41121600,67773900,2100,24500,3500,800,1813336,9972,2.081628392484342,0.0,
100000,words,1,30371100,70501200,1800,18800,4900,500,1829392,10049,2.077750206782465,0.0,
100000,words,2,27445500,65516300,1900,21000,4900,600,1828944,10046,2.0771298593879237,0.0,
100000,words,3,27816000,65442500,1900,22300,5700,600,1829008,10045,2.076923076923077,0.0,
100000,words,4,43652100,71396800,1800,26200,3800,600,1829664,10046,2.076700434153401,0.0,
100000,words,5,27984300,65855200,1700,22000,2900,500,1828528,10046,2.076700434153401,0.0,
100000,words,6,28696400,67726800,2000,22800,7600,800,1828352,10043,2.0773686388084402,0.0,
100000,words,7,30865000,69900300,2000,19500,2300,600,1830032,10046,2.076700434153401,0.0,
100000,words,8,33456200,70140700,2000,21900,3000,500,1829696,10046,2.076700434153401,0.0,
100000,words,9,29154100,70154000,2900,38300,4800,600,1829720,10044,2.07671629445823,0.0,
100000,words,10,28079700,70081100,2600,20400,7500,500,1828784,10045,2.076493694438702,0.0,
100000,words,11,28201700,68020500,2300,20000,6500,600,1829280,10046,2.076700434153401,0.0,
100000,words,12,28681000,68132100,1800,19900,2700,500,1828784,10045,2.076923076923077,0.0,
100000,words,13,29590600,71027800,2500,22900,5700,1000,1830032,10046,2.076700434153401,0.0,
100000,words,14,29686800,71179700,2000,21700,4600,600,1829696,10046,2.076700434153401,0.0,
100000,words,15,32880500,68265200,2400,21800,5100,700,1829288,10046,2.076700434153401,0.0,
100000,words,16,29315200,69275300,1900,18800,4600,500,1829696,10046,2.076700434153401,0.0,
100000,words,17,30234800,69840600,2000,22100,2200,600,1829280,10046,2.076700434153401,0.0,
100000,words,18,31836300,68248100,2700,38900,13800,1000,1828952,10046,2.076700434153401,0.0,
100000,words,19,29141000,69555800,2000,22100,4900,600,1829816,10045,2.076493694438702,0.0,
